Business Name,UBI#,Business Type,Principal Office Address,Registered Agent Name,Status
"CLAUSEN CHIROPRACTIC SERVICES, P.S.",602 460 140,WA PROFESSIONAL SERVICE CORPORATION,"1220 OLYMPIC WAY W, SEATTLE, WA, 98119, UNITED STATES",STEPHEN G CLAUSEN,Administratively Dissolved
CLE ELUM CHIROPRACTIC P.L.L.C.,602 349 779,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"120 E 1ST ST, CLE ELUM, WA, 98922, UNITED STATES",D. M. BRIDGEMAN,Administratively Dissolved
CLEAR CHIROPRACTIC LLC,603 338 475,WA LIMITED LIABILITY COMPANY,"17425 NE UNION HILL RD STE 100, REDMOND, WA, 98052-6189, UNITED STATES",JGB SERVICE CORPORATION,Active
"CLEAR CHOICE CHIROPRACTIC, INC.",602 431 813,WA PROFIT CORPORATION,"15 SW 12TH AVE, BATTLE GROUND, WA, 98604, UNITED STATES",DANIEL J THOMPSON,Active
"CLEARVIEW CHIROPRACTIC, LLC",602 978 035,WA LIMITED LIABILITY COMPANY,"17416 SR 9 SE STE B, SNOHOMISH, WA, 98296, UNITED STATES",STEPHEN A BALDWIN,Administratively Dissolved
CLOUD CHIROPRACTIC CLINIC PC,603 610 044,WA PROFESSIONAL SERVICE CORPORATION,"3400 SE 196TH AVE STE 106, CAMAS, WA, 98607-8862, UNITED STATES","SBLG, PLLC",Active
CLOUD CHIROPRACTIC LLC,603 367 282,WA LIMITED LIABILITY COMPANY,"3400 SE 196TH AVE #106, CAMAS, WA, 98607, UNITED STATES",SHANNON ANHORN,Administratively Dissolved
"CLOUDCHIRO, LLC",603 164 108,WA LIMITED LIABILITY COMPANY,,JOHN KOSTUROS,Administratively Dissolved
"CLOVER CREEK CHIROPRACTIC. INC, PC",604 393 705,WA PROFESSIONAL SERVICE CORPORATION,"6141 93RD ST SW, LAKEWOOD, WA, 98499-2401, UNITED STATES",RANDY MAY,Active
"CMR CHIROPRACTIC, PLLC",604 080 125,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"11811 MUKILTEO SPEEDWAY STE 105, MUKILTEO, WA, 98275-5442, UNITED STATES",RICHARD OPENSHAW,Active
CNB CHIROPRACTIC CENTER INC,602 581 553,WA PROFIT CORPORATION,"9705 18TH AVE S #G11, TACOMA, WA, 98444, UNITED STATES",MYUNG CHOI,Inactive
"CNS CHIROPRACTIC CENTER, PS",603 256 020,WA PROFESSIONAL SERVICE CORPORATION,"1207 N 200TH ST STE 217, SHORELINE, WA, 98133-3213, UNITED STATES","JOO & CO., LLC",Active
"COASTAL CHIROPRACTIC CENTER, P.S.",602 162 039,WA PROFESSIONAL SERVICE CORPORATION,,DR MARC A FERRIN,Inactive
COLLEGE PLACE CHIROPRACTIC PC,602 699 350,WA PROFESSIONAL SERVICE CORPORATION,"716 S COLLEGE AVE, COLLEGE PLACE, WA, 99324, UNITED STATES",DEREK HAYDEN,Administratively Dissolved
"COLLINS CHIROPRACTIC, PC",602 656 737,WA PROFESSIONAL SERVICE CORPORATION,"619 SW 152ND ST, BURIEN, WA, 98166-2212, UNITED STATES",AARON COLLINS,Active
COLLINS FAMILY CHIROPRACTIC LLC,604 122 563,WA LIMITED LIABILITY COMPANY,"2146 W RAILROAD AVE, SHELTON, WA, 98584, UNITED STATES",NORMAN COLLINS,Administratively Dissolved
COLOR CHIROPRACTIC INC,604 290 277,WA PROFESSIONAL SERVICE CORPORATION,"1224 HARRIS AVE STE 107, BELLINGHAM, WA, 98225-7152, UNITED STATES",RICHARD TRAN,Active
"COLUMBIA BASIN CHIROPRACTIC CARE, PS",602 595 305,WA PROFESSIONAL SERVICE CORPORATION,"51 ALDER ST NW, EPHRATA, WA, 98823, UNITED STATES",BRENT BEDFORD,Active
COLUMBIA CHIROPRACTIC & MASSAGE LLC,602 606 121,WA LIMITED LIABILITY COMPANY,"16500 SE 15TH ST SUITE 160, VANCOUVER, WA, 98683, UNITED STATES",BRANDON PASA,Inactive
"COLUMBIA CHIROPRACTIC & MASSAGE, PLLC",603 011 575,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"855 NW 6TH AVE, CAMAS, WA, 98607, UNITED STATES",BRANDON PASA,Administratively Dissolved
"COLUMBIA CHIROPRACTIC CENTER, INC., P.S.",600 345 694,WA PROFESSIONAL SERVICE CORPORATION,,GERALD BAINARD JR,Inactive
COLUMBIA CHIROPRACTIC LLC,602 986 094,WA LIMITED LIABILITY COMPANY,"8530 W GAGE BLVD., SUITE B, KENNEWICK, WA, 99336, UNITED STATES",RUSSELL BARNINGS DC,Administratively Dissolved
COLUMBIA CHIROPRACTIC PLLC,604 348 880,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"4621 35TH AVE SW STE B, SEATTLE, WA, 98126-2767, UNITED STATES",CHRISTOPHER PROUTY,Active
"COLUMBIA FAMILY CHIROPRACTIC, P.S.",602 335 870,WA PROFESSIONAL SERVICE CORPORATION,"331 NE LECHNER STREET, CAMAS, WA, 98607-2445, UNITED STATES",DANIELLE C DEAREY,Active
COLUMBIA POINT CHIROPRACTIC AND MASSAGE CENTER CORP.,603 287 802,WA PROFIT CORPORATION,"3207 S. BUNTIN ST., KENNEWICK, WA, 99337, UNITED STATES",GERALD MORAN,Administratively Dissolved
"COLVILL CHIROPRACTIC, INC.",604 385 218,WA PROFIT CORPORATION,"6565 KIMBALL DR STE 101, GIG HARBOR, WA, 98335-1269, UNITED STATES",INGRAM ZELASKO & GOODDWIN R/A INC,Active
"COLVILLE CHIROPRACTIC CLINIC, INC., P.S.",602 668 693,WA PROFESSIONAL SERVICE CORPORATION,"165 S OAK ST, COLVILLE, WA, 99114-2845, UNITED STATES",ROGER L LAWSON,Active
"COME TO YOU CHIROPRACTIC, P.L.L.C",603 498 080,WA LIMITED LIABILITY COMPANY,"4411 E VANTAGE LN, SPOKANE, WA, 99217, UNITED STATES",ANDREW GLANVILLE,Administratively Dissolved
COMMENCEMENT BAY CHIROPRACTIC PS,602 639 902,WA PROFESSIONAL SERVICE CORPORATION,"1233 LAWRENCE ST STE 201, PORT TOWNSEND, WA, 98368-6554, UNITED STATES",CALAH TENNEY,Active
"COMMUNITY CHIROPRACTIC, P.S.",601 722 575,WA PROFIT CORPORATION,"3525 ENSIGN RD NE, SUITE G, OLYMPIA, WA, 98506-5065, UNITED STATES",GARY MOON II,Active
COMPLETE CHIROPRACTIC & MASSAGE LLC,603 415 311,WA LIMITED LIABILITY COMPANY,"1310 S UNION AVE, SUITE A-202, TACOMA, WA, 98405-1907, UNITED STATES",LEONARD HO,Active
CONNECT FAMILY CHIROPRACTIC LLC,604 576 723,WA LIMITED LIABILITY COMPANY,"4042 GLORIA LN, BELLINGHAM, WA, 98226-1733, UNITED STATES",ANDREW MURRY,Active
"CONSTANTIN CHIROPRACTIC CLINIC, P.C.",601 758 150,WA PROFESSIONAL SERVICE CORPORATION,"2017 MAIN ST, FERNDALE, WA, 98248-9468, UNITED STATES",SUSAN CONSTANTIN,Active
"CONTEMPORARY CHIROPRACTIC, PS",602 936 507,WA PROFESSIONAL SERVICE CORPORATION,"6408 NW 184TH ST, RIDGEFIELD, WA, 98642-9675, UNITED STATES",KIM  CHRISTENSEN,Active
CONTI CHIROPRACTIC PLLC,602 422 546,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"3217 MERIDIAN AVE E, EDGEWOOD, WA, 98371-2613, UNITED STATES",RONALD CONTI,Active
"COOK CHIROPRACTIC, PLLC",603 278 192,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"639 SUNSET PARKS DR SUITE 103, SEDRO WOOLLEY, WA, 98284, UNITED STATES",HEATHER D SHAND,Active
"COPELAND CHIROPRACTIC, PLLC",603 392 810,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"604 W 4TH AVE UNIT B, TOPPENISH, WA, 98948-1673, UNITED STATES",JUSTIN COPELAND,Active
CORBIN CHIROPRACTIC CLINIC PLLC,603 138 683,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"4608 NE 4TH ST, RENTON, WA, 98059-5004, UNITED STATES",KIMBERLY WATERS,Active
"CORBIN FAMILY CHIROPRACTIC, PLLC",603 169 017,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"25821 104TH AVE. S.E., KENT, WA, 98031, UNITED STATES",JENNIFER  CORBIN,Active
"CORE CHIROPRACTIC CLINIC, P.S.",603 492 073,WA PROFESSIONAL SERVICE CORPORATION,"330 W PIONEER AVE STE C, MONTESANO, WA, 98563-4412, UNITED STATES",THOMAS FLOCH,Active
"CORE CHIROPRACTIC, PS",603 250 225,WA PROFESSIONAL SERVICE CORPORATION,"3615 STEILACOOM BLVD SW 204-A, LAKEWOOD, WA, 98499, UNITED STATES",CHUL H JUN,Administratively Dissolved
"CORLEY CHIROPRACTIC, INC.",601 776 815,WA PROFIT CORPORATION,,EDWARD D CORLEY DC,Inactive
"CORNELL CHIROPRACTIC OFFICE, INC.",601 253 982,WA PROFIT CORPORATION,,JOHN CORNELL,Administratively Dissolved
CORNERSTONE CHIROPRACTIC CLINIC PS,602 742 834,WA PROFESSIONAL SERVICE CORPORATION,"1903 GEORGE WASHINGTON WAY, RICHLAND, WA, 99354, UNITED STATES",SCOTT C WHITEMARSH,Active
"CORNERSTONE CHIROPRACTIC INC., P.S.",601 908 860,WA PROFESSIONAL SERVICE CORPORATION,,DR GERALD P MORAN,Inactive
"CORNERSTONE CHIROPRACTIC, INC PS",602 782 295,WA PROFESSIONAL SERVICE CORPORATION,"2003 132ND ST SE #E, EVERETT, WA, 98208, UNITED STATES",MICHAELILYANKOFF,Administratively Dissolved
CORNERSTONE FAMILY CHIROPRACTIC INC PS,603 613 550,WA PROFESSIONAL SERVICE CORPORATION,"7425 156TH ST SE, SNOHOMISH, WA, 98296, UNITED STATES",MICHAEL ILYANKOFF,Active
"CORRECTIVE CHIROPRACTIC CARE, INC. P.S.",602 707 752,WA PROFESSIONAL SERVICE CORPORATION,"719 SLEATER KINNEY RD SE, SUITE 130, LACEY, WA, 98503, UNITED STATES",HOWARD FRIEDLY,Active
"COSGROVE CHIROPRACTIC, P.S.",604 149 526,WA PROFESSIONAL SERVICE CORPORATION,"110 N BLAKELEY ST, MONROE, WA, 98272, UNITED STATES",CARL COSGROVE,Active
"COTTRELL CHIROPRACTIC, PS",604 066 894,WA PROFESSIONAL SERVICE CORPORATION,"140 6TH AVE NE, ISSAQUAH, WA, 98027-3341, UNITED STATES",TERRY COTTRELL,Active
"COULEE CHIROPRACTIC, INC.",602 499 255,WA PROFIT CORPORATION,"109 NE MAIN ST, WILBUR, WA, 99185-0109, UNITED STATES",TYRONE TREXLER,Active
"COUNTRY CHIROPRACTIC CLINIC, PLLC",602 703 394,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"22790 BUCHANAN ST, MOUNT VERNON, WA, 98273-8023, UNITED STATES",NICHOLAS MARTIN,Active
"COURTYARD CHIROPRACTIC, INC.",601 797 541,WA PROFIT CORPORATION,"15118 MAIN ST #500, MILL CREEK, WA, 98012, UNITED STATES",JOHN J YI,Inactive
COVINGTON CHIROPRACTIC LLC,603 205 800,WA LIMITED LIABILITY COMPANY,"26708 180TH AVE SE, SUITE 102, COVINGTON, WA, 98042-4969, UNITED STATES",NEAL VITALIS,Active
"CREEKSIDE CHIROPRACTIC & MASSAGE, PS",603 033 730,WA PROFESSIONAL SERVICE CORPORATION,"6210 75TH STREET WEST, SUITE A100, LAKEWOOD, WA, 98499-8108, UNITED STATES",RICHARD L. HOEFEL,Active
"CROSS CHIROPRACTIC, P.S.",602 257 352,WA PROFESSIONAL SERVICE CORPORATION,,NANCY F CROSS DC,Inactive
CROSSROADS CHIROPRACTIC INC.,602 282 679,WA PROFIT CORPORATION,"15935 NE 8TH ST, A101, BELLEVUE, WA, 98008-3918, UNITED STATES",STEVEN W KAPLAN,Active
"CROWN HILL CHIROPRACTIC SERVICES, PLLC",604 363 083,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"14524 MAIN ST NE, STE 119, DUVALL, WA, 98019-8467, UNITED STATES",COLIN DERIEG,Active
"CROWN HILL CHIROPRACTIC, P.S.",602 183 853,WA PROFESSIONAL SERVICE CORPORATION,"14524 MAIN ST NE STE 115, DUVALL, WA, 98019-8467, UNITED STATES",ELIZABETH MALONEY,Administratively Dissolved
CULTURE CHIROPRACTIC LLC,604 067 106,WA LIMITED LIABILITY COMPANY,"10424 128TH AVE NE, KIRKLAND, WA, 98033-4734, UNITED STATES",STEPHANIE BENZ,Active
"CUMMINS CHIROPRACTIC AND WELLNESS, P.L.L.C.",602 939 566,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"4122 FACTORIA BLVD #203, BELLEVUE, WA, 98006, UNITED STATES",JAMES VARNELL,Active
"DABALOS CHIROPRACTIC CLINIC, LLC",602 170 086,WA LIMITED LIABILITY COMPANY,,RODOLFO ADABALOS DC,Inactive
"DALLAS CHIROPRACTIC CLINIC, PLLC",603 282 160,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1509 BROADWAY ST, BELLINGHAM, WA, 98225-3037, UNITED STATES",MARSHALL DALLAS,Active
"DANA CHIROPRACTIC CLINIC, INC.",602 839 025,WA PROFIT CORPORATION,"6221 ELIZABETH AVE SE, AUBURN, WA, 98092, UNITED STATES",MYUNG SUK CHOI,Administratively Dissolved
"DANDREA CHIROPRACTIC, INC., P.C.",602 607 110,WA PROFESSIONAL SERVICE CORPORATION,"1655 COOPER POINT RD SW, OLYMPIA, WA, 98502-5735, UNITED STATES",DAVID  CULLEN,Active
DANIEL J. KLEIN CHIROPRACTIC CLINIC LLC,602 623 730,WA LIMITED LIABILITY COMPANY,"12515 MERIDIAN E. SIUTE 201, PUYALLUP, WA, 98373, UNITED STATES",DANIEL J KLEIN,Active
"DARLING CHIROPRACTIC SERVICES, PC",602 960 295,WA PROFESSIONAL SERVICE CORPORATION,"235 NE SIXTH AVE, CAMAS, WA, 98607, UNITED STATES",TRISTA DARLING,Active
"DAVID M. SCHEER CHIROPRACTIC CORP., P.S.",600 290 098,WA PROFESSIONAL SERVICE CORPORATION,,DAVID MSCHEER,Administratively Dissolved
"DAVIDSON CHIROPRACTIC OFFICE, P.S.",600 417 554,WA PROFESSIONAL SERVICE CORPORATION,,RAYMOND E DAVIDSON DC,Inactive
"DAVIS CHIROPRACTIC, P.C.",602 830 117,WA PROFESSIONAL SERVICE CORPORATION,"1233 W SIMS WAY, PORT TOWNSEND, WA, 98368-3057, UNITED STATES",CHRISTOPHER DAVIS,Active
"DAVIS FAMILY CHIROPRACTIC, PLLC",602 755 874,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"2415 SE 165TH AVE STE 105, VANCOUVER, WA, 98683, UNITED STATES",PADGETT BUSINESS SERVICES,Active
"DAY CHIROPRACTIC CLINIC, P.S.",600 425 248,WA PROFESSIONAL SERVICE CORPORATION,"2721 E SPRAGUE AVE, SPOKANE, WA, 99202-3940, UNITED STATES",TIMOTHY J DAY DC,Active
"DAYTON CHIROPRACTIC OFFICE, INC., P.S.",600 119 838,WA PROFESSIONAL SERVICE CORPORATION,,TERRY R NEALEY,Inactive
"DAYTON CHIROPRACTIC, INC.",602 310 740,WA PROFIT CORPORATION,"627 W MAIN ST, WALLA WALLA, WA, 99362-2708, UNITED STATES",ROBERT BETZLER,Active
"DEATHERAGE CHIROPRACTIC, P.C.",603 363 819,WA PROFESSIONAL SERVICE CORPORATION,"1001 4TH AVE #4500, SEATTLE, WA, 98154, UNITED STATES","CORPSERVE, INC.",Administratively Dissolved
DECAMP CHIROPRACTIC,603 350 010,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"3713 RUCKER AVE, EVERETT, WA, 98201, UNITED STATES",BRANDON DECAMP,Administratively Dissolved
DECAMP CHIROPRACTIC CLINIC PLLC,603 346 695,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"3713 RUCKER AVE, EVERETT, WA, 98201-4632, UNITED STATES",BRANDON DECAMP,Active
"DECAMP CHIROPRACTIC, PS",602 678 697,WA PROFESSIONAL SERVICE CORPORATION,"610 N MISSION STE 102, WENATCHEE, WA, 98801, UNITED STATES",THOMAS F OCONNELL,Active
"DECAMP TOFTNESS CHIROPRACTIC CLINIC, PS",602 678 103,WA PROFESSIONAL SERVICE CORPORATION,"610 N MISSION ST STE C4, WENATCHEE, WA, 98801, UNITED STATES",MATTHEW R HALE,Inactive
"DECAMP-TOFTNESS CHIROPRACTIC CLINIC, LLP",602 351 864,WA LIMITED LIABILITY PARTNERSHIP,"610 N MISSION STE 102, WENATCHEE, WA, 98801, UNITED STATES",DECAMP TOFTNESS CHIROPRACTIC CLINIC,Active
"DEEP TISSUE CHIROPRACTIC, INC.",602 472 777,WA PROFIT CORPORATION,"3400 SE 196TH AVE #104, CAMAS, WA, 98607, UNITED STATES",JOHN W TAYLOR,Administratively Dissolved
"DELP CHIROPRACTIC, PLLC",603 259 943,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"607 1ST AVE, ZILLAH, WA, 98953, UNITED STATES",KENNETH M DELP,Active
DELRIDGE CHIROPRACTIC INC. PS,601 824 579,WA PROFESSIONAL SERVICE CORPORATION,"9422 DELRIDGE WAY SW, SEATTLE, WA, 98106-2733, UNITED STATES",SUNTHA HAY DC,Active
"DENNISTON CHIROPRACTIC, P.S.",602 172 705,WA PROFIT CORPORATION,,JOHN N ZAREMBA,Administratively Dissolved
"DEREK STRACHAN CHIROPRACTIC, P.C.",602 373 140,WA PROFESSIONAL SERVICE CORPORATION,"5429 RUSSELL AVE NW, STE 300, SEATTLE, WA, 98107-4010, UNITED STATES",DEREK STRACHAN,Active
"DERRICK FAMILY CHIROPRACTIC, INC.",602 119 779,WA PROFIT CORPORATION,"3535 MARTIN WAY E, OLYMPIA, WA, 98506-5049, UNITED STATES",MITCH DERRICK,Active
DESCHUTES CHIROPRACTIC PLLC,602 958 989,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"509 CUSTER WAY SE, TUMWATER, WA, 98501, UNITED STATES",WILLIAM HARRELL,Active
"DESERT SPINAL REHABILITATION, CHIROPRACTIC & MASSAGE, PLLC",603 375 337,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"325 WELLSIAN WAY, RICHLAND, WA, 99352-4116, UNITED STATES",GILBERT D GARBERG,Active
"DESIGNED LIFE CHIROPRACTIC, P.S.",604 179 371,WA PROFIT CORPORATION,"2909 S QUILLAN ST STE 158, KENNEWICK, WA, 99337-2437, UNITED STATES",MARIAH KILPS,Active
"DESROCHES CHIROPRACTIC, PLLC",604 049 922,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"6817 N CEDAR RD #201, SPOKANE, WA, 99208, UNITED STATES",RYAN DESROCHES,Active
"DEVINE CHIROPRACTIC & REHAB CENTER, P.S.",602 458 143,WA PROFESSIONAL SERVICE CORPORATION,"104 PIKE ST # 210, SEATTLE, WA, 98101-2010, UNITED STATES",JAMES A DEVINE,Active
"DEWILDE CHIROPRACTIC, INC.",602 344 199,WA PROFIT CORPORATION,"18657 STATE HIGHWAY 305 NE STE 4, POULSBO, WA, 98370-9184, UNITED STATES",CHARLES DEWILDE,Active
DIAMOND CHIROPRACTIC P.S.,600 216 479,WA PROFESSIONAL SERVICE CORPORATION,"294 TORBETT ST, RICHLAND, WA, 99354, UNITED STATES",ROBERT BETZLER,Inactive
DIDOMENICO CHIROPRACTIC INC.,601 653 213,WA PROFIT CORPORATION,,DR FRED DIDOMENICO,Inactive
"DIRMEYER CHIROPRACTIC INCORPORATED, P.S.",601 163 532,WA PROFESSIONAL SERVICE CORPORATION,,BRUCE R DIRMEYER DC,Administratively Dissolved
"DISCOVER CHIROPRACTIC GROUP, PLLC",602 583 532,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1837 COLE ST, SUITE C, ENUMCLAW, WA, 98022, UNITED STATES",BRYAN GARTON,Administratively Dissolved
"DISCOVER CHIROPRACTIC, P.S.",602 076 544,WA PROFESSIONAL SERVICE CORPORATION,,JAMES BALLIF,Inactive
"DISCOVER CHIROPRACTIC, PLLC",603 410 566,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"22833 BOTHELL EVERETT HWY, SUITE 202, BOTHELL, WA, 98021-9368, UNITED STATES",BRIAN BURKHOLDER,Active
"DISCOVER HEALTH CHIROPRACTIC, PLLC",603 030 872,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"4345 ROOSEVELT WAY NE, SEATTLE, WA, 98105-4717, UNITED STATES",REANNA PLANCICH,Active
"DISCOVERY CHIROPRACTIC CLINIC, INC.",602 313 924,WA PROFIT CORPORATION,"9100 NE HIGHWAY 99, VANCOUVER, WA, 98665-8925, UNITED STATES",TODD A WARD,Active
DOC BRUNO'S CHIROPRACTIC CLINIC LLC,602 946 443,WA LIMITED LIABILITY COMPANY,"5348 BALLARD AVE NW, SEATTLE, WA, 98107, UNITED STATES",ALBERT BRUNO,Inactive
"DOHRMANN FAMILY CHIROPRACTIC, INC., PS",602 864 804,WA PROFESSIONAL SERVICE CORPORATION,"2321 SIMPSON AVE, ABERDEEN, WA, 98520, UNITED STATES",CYRUS DOHRMANN,Active
"DOLEZAL CHIROPRACTIC CENTER, INC., P.S.",600 199 372,WA PROFESSIONAL SERVICE CORPORATION,,DANIEL A FARR,Inactive
"DOOR CHIROPRACTIC CLINIC, INC PS",600 462 558,WA PROFESSIONAL SERVICE CORPORATION,,WILLIAM R LEVINSON,Inactive
"DOREY CHIROPRACTIC CENTER, PLLC",603 004 081,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"P.O. BOX 731, BELLEVUE, WA, 98009-0731, UNITED STATES",TIMOTHY DOREY,Inactive
"DORLAND CHIROPRACTIC CLINIC, PLLC",602 483 038,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"713 SE EVERETT MALL WAY #B, EVERETT, WA, 98208, UNITED STATES","ROBERT GETZ, P.S.",Active
"DOUBT CHIROPRACTIC, PLLC",603 297 703,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1920 4TH AVE #909, SEATTLE, WA, 98101, UNITED STATES",EMILY E DOUBT DC,Administratively Dissolved
DOWNTOWN BURIEN CHIROPRACTIC LLC,604 237 467,WA LIMITED LIABILITY COMPANY,"221 S 195TH ST, DES MOINES, WA, 98148-2137, UNITED STATES",EDITH VALSAINT,Delinquent
DOWNTOWN EDMONDS CHIROPRACTIC PLLC,602 653 506,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"20120 76TH AVE W, EDMONDS, WA, 98026-6801, UNITED STATES",BRENT SYMES,Active
"DOWNTOWN EDMONDS CHIROPRACTIC, INC.",601 736 599,WA PROFIT CORPORATION,,DAVID L FROINES,Inactive
"DOWNTOWN SEATTLE CHIROPRACTIC CENTER, INC. P.S.",601 937 518,WA PROFESSIONAL SERVICE CORPORATION,"509 OLIVE WAY, SUITE 1342, SEATTLE, WA, 98101, UNITED STATES",C NELSON BERRY III,Active
"DOYLE & ASSOCIATES CHIROPRACTIC CLINIC, INC. P.S.",602 031 797,WA PROFESSIONAL SERVICE CORPORATION,"603 CHESTER AVE, BREMERTON, WA, 98337-1266, UNITED STATES",DAVID CORLEY,Active
"DOYLE CHIROPRACTIC CLINIC, P.S.",601 930 625,WA PROFESSIONAL SERVICE CORPORATION,"16923 96TH AVE NE, BOTHELL, WA, 98011-1937, UNITED STATES",DAVID ARTHUR,Active
"DOYLE CHIROPRACTIC CLINIC, P.S.",000 042 482,WA PROFESSIONAL SERVICE CORPORATION,,ROBERT ABRAMSON,Inactive
"DPW CHIROPRACTIC, PS",602 775 897,WA PROFESSIONAL SERVICE CORPORATION,"19503 - 56TH AVE W STE A, LYNNWOOD, WA, 98036, UNITED STATES",,Inactive
"DR W P YIP FAMILY PRACTICE OF CHIROPRACTIC, INC PS",602 167 568,WA PROFESSIONAL SERVICE CORPORATION,"3312 ROSEDALE ST STE 104, GIG HARBOR, WA, 98335, UNITED STATES",WAI PO YIP,Active
"DR. CRAIG A. BENSON CHIROPRACTIC CLINIC, P.S.",601 098 293,WA PROFESSIONAL SERVICE CORPORATION,"17791 FJORD DR NE, SUITE 214, POULSBO, WA, 98370-8483, UNITED STATES",CRAIG BENSON,Active
"DR. ELI BENTABOU CHIROPRACTIC AND WELLNESS CENTER, LLC",604 581 828,WA LIMITED LIABILITY COMPANY,"1705 MAIN ST, FREELAND, WA, 98249, UNITED STATES",FALENA BENTABOU,Active
"DR. MICK L. TIEGS, INC., P.S. USA CHIROPRACTIC",601 748 809,WA PROFESSIONAL SERVICE CORPORATION,,DR MICK L TIEGS,Inactive
"DR. W. P. YIP FAMILY PRACTICE OF CHIROPRACTIC, INC. P.S.",600 603 373,WA PROFESSIONAL SERVICE CORPORATION,,W P YIP,Inactive
DRAKE CHIROPRACTIC PLLC,602 529 532,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"500 S 336TH ST STE 110, MILTON, WA, 98354, UNITED STATES",KATHLEEN DRAKE,Active
"DRS. R. AND I. NAVRATIL CHIROPRACTIC CLINIC, INC., P.S.",000 024 742,WA PROFESSIONAL SERVICE CORPORATION,,DR IRENE M NAVRATIL,Inactive
"DWYER CHIROPRACTIC CENTER, L.L.C.",602 887 528,WA LIMITED LIABILITY COMPANY,"1013 BRIDGE ST STE D, CLARKSTON, WA, 99403, UNITED STATES",CHARLES DWYER,Administratively Dissolved
"DWYER FAMILY CHIROPRACTIC, INC.",602 748 033,WA PROFIT CORPORATION,"434 N 8TH ST, MONTESANO, WA, 98563-2106, UNITED STATES",JOHN DWYER,Active
"DYNAMIC CHIROPRACTIC CLINIC OF BELLEVUE, PLLC",602 403 586,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"15230 NE 24TH ST STE 1-S, STE 1-S, REDMOND, WA, 98052-5540, UNITED STATES","OLDHAM & FRANCIS P.S., INC.",Active
"DYNAMIC CHIROPRACTIC CLINIC, PS",602 789 614,WA PROFESSIONAL SERVICE CORPORATION,"509 OLIVE WAY #620, SEATTLE, WA, 98101, UNITED STATES",PRESIDENT,Administratively Dissolved
"DYNAMIC CHIROPRACTICS, CORP",602 484 351,WA PROFIT CORPORATION,"115 SE 3RD STE E, COLLEGE PLACE, WA, 99324, UNITED STATES",SHARK TR LLC,Inactive
DYNAMIC CHIROS OF AUBURN PLLC,604 459 095,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"3820 S 320TH ST, AUBURN, WA, 98001-3115, UNITED STATES","OLDHAM & FRANCIS P.S., INC.",Active
"DYNAMIC PERFORMANCE CHIROPRACTIC, INC.",602 954 196,WA PROFIT CORPORATION,"30741 3RD AVE # 120, BLACK DIAMOND, WA, 98010, UNITED STATES",ANTHONY J GIRALMO,Administratively Dissolved
"EAGLE HARBOR CHIROPRACTIC, INC. PS",602 128 701,WA PROFIT CORPORATION,,KIRKPETHERAM,Administratively Dissolved
"EAGLE HARBOR HEALTH & CHIROPRACTIC CENTER, LLC",603 166 272,WA LIMITED LIABILITY COMPANY,"931 HILDERBRAND LN, SUITE 101, BAINBRIDGE ISLAND, WA, 98110-2823, UNITED STATES",KIRK PETHERAM,Active
"EAST CASCADE CHIROPRACTIC, PLLC",603 148 791,WA LIMITED LIABILITY COMPANY,"202 WEST 1ST STREET, SUITE 1, CLE ELUM, WA, 98922, UNITED STATES",JESSE MESSERSCHMIDT,Active
"EAST VANCOUVER CHIROPRACTIC & MASSAGE THERAPY, INC",602 755 023,WA PROFIT CORPORATION,"1937 NW 32ND CIRCLE, CAMAS, WA, 98607, UNITED STATES",NICHOLAS PECK,Administratively Dissolved
EASTER CHIROPRACTIC P.L.L.C.,602 718 236,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"605 MAIN ST, EDMONDS, WA, 98020, UNITED STATES",SANDRA EASTER,Inactive
